id,suburb,area,station_count,station_count_by_area,station_count_by_area_plus_1
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.284,PETTICOAT CREEK,0.000103143,0,0,1
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.285,HARMERS HAVEN,0.000221515,0,0,1
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.286,TERRICK TERRICK EAST,0.018212391,0,0,1
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.291,CAMPBELLS BRIDGE,0.009904501,3,302.8926037,303.8926037
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.292,BARFOLD,0.003889416,3,771.3239726,772.3239726
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.295,LYNBROOK,0.000421984,9,21327.81003,21328.81003
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.296,GLENAROUA,0.014878507,1,67.21104617,68.21104617
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.297,YEA,0.018010664,23,1277.021203,1278.021203
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.298,MURRINDINDI,0.023328987,3,128.5953848,129.5953848
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.320,ASHWOOD,0.0002629,3,11411.18124,11412.18124
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.299,LONGWARRY NORTH,0.00098691,3,3039.791012,3040.791012
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.300,JAM JERRUP,0.001051602,1,950.9298265,951.9298265
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.301,WULGULMERANG,0.015525862,1,64.40866116,65.40866116
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.302,WULGULMERANG EAST,0.009826329,1,101.7674098,102.7674098
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.303,BRUMBY,0.051998792,7,134.6185117,135.6185117
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.539,SOLDIERS HILL,0.000152549,6,39331.74655,39332.74655
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.304,SWAN REACH,0.003861822,2,517.8902145,518.8902145
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.305,FERNY CREEK,0.000460544,9,19542.1152,19543.1152
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.306,CAIRNLEA,0.000459417,4,8706.687821,8707.687821
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.307,TYRRELL,0.009874526,0,0,1
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.308,DALES CREEK,0.000177453,0,0,1
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.309,BAMBRA,0.004272091,0,0,1
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.310,MAIN LEAD,0.000501187,0,0,1
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.311,CLOVERLEA,0.001853218,0,0,1
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.316,PATYAH,0.02096259,2,95.40805778,96.40805778
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.317,MORTLAKE,0.036390737,26,714.4675255,715.4675255
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.318,QUAMBATOOK,0.033410541,6,179.5840405,180.5840405
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.312,WESTMEADOWS,0.000492174,11,22349.81896,22350.81896
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.319,TYNTYNDER SOUTH,0.001890514,1,528.9566682,529.9566682
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.327,NEILBOROUGH,0.007925951,1,126.1678173,127.1678173
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.313,PATTERSON LAKES,0.000437903,4,9134.440145,9135.440145
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.314,NOORINBEE,0.021606812,1,46.2817011,47.2817011
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.315,AIRPORT WEST,0.000398486,21,52699.49848,52700.49848
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.321,ABERFELDIE,0.00016018,6,37457.74817,37458.74817
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.322,PENTLAND HILLS,0.002502874,6,2397.244163,2398.244163
